City,City,Country,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
148,Karlskrona,SE,56.1616,15.5866,36.05,73,90,,overcast clouds
149,Mataura,NZ,-46.1927,168.8643,54.55,93,100,,moderate rain
150,Buchanan,LR,5.8808,-10.0467,78.98,84,94,,light rain
151,Ribeira Grande,PT,38.5167,-28.7,58.77,77,40,,scattered clouds
152,San Patricio,US,28.017,-97.5169,57.07,53,100,,overcast clouds
153,Progreso,MX,21.2833,-89.6667,82.11,80,99,,light rain
154,Lulea,SE,65.5842,22.1547,15.87,92,100,,overcast clouds
155,Poum,NC,-20.2333,164.0167,77.9,73,80,,broken clouds
156,Saskylakh,RU,71.9167,114.0833,-28.98,100,93,,overcast clouds
157,Aykhal,RU,66.0,111.5,-19.39,99,100,,overcast clouds
158,Nave,IT,45.5875,10.29,52.72,90,75,,mist
159,Praia Grande,BR,-24.0058,-46.4028,75.34,64,5,,clear sky
160,Richards Bay,ZA,-28.783,32.0377,72.01,95,100,,light rain
161,Pudozh,RU,61.8099,36.5345,20.12,81,29,,scattered clouds
162,Pangnirtung,CA,66.1451,-65.7125,-5.64,95,83,,broken clouds
163,Port Hedland,AU,-20.3167,118.5667,69.85,68,0,,clear sky
164,Bredasdorp,ZA,-34.5322,20.0403,60.19,61,100,,overcast clouds
165,Ribeira Brava,PT,32.65,-17.0667,69.71,78,50,,scattered clouds
166,Constantine,DZ,36.365,6.6147,56.61,71,20,,few clouds
167,Khatanga,RU,71.9667,102.5,-22.99,92,100,,overcast clouds
168,Dasoguz,TM,41.8363,59.9666,42.75,65,0,,clear sky
169,Malatya,TR,38.5,38.0,37.45,100,40,,scattered clouds
170,Ust-Nera,RU,64.5667,143.2,-24.63,99,84,,broken clouds
171,Naryan-Mar,RU,67.6713,53.087,31.98,92,100,,light snow
172,Zhanakorgan,KZ,43.9098,67.2495,36.12,55,100,,overcast clouds
173,Kavieng,PG,-2.5744,150.7967,82.87,69,100,,overcast clouds
174,Mildura,AU,-34.2,142.15,60.08,73,2,,clear sky
175,Eilenburg,DE,51.4598,12.6334,43.12,90,100,,overcast clouds
176,Codrington,AU,-38.2667,141.9667,48.81,87,10,,clear sky
177,Avarua,CK,-21.2078,-159.775,78.85,78,99,,overcast clouds
178,Husavik,IS,66.0449,-17.3389,42.24,84,30,,scattered clouds
179,Lakes Entrance,AU,-37.8811,147.981,56.16,65,4,,clear sky
180,Guangyuan,CN,32.442,105.823,54.18,85,100,,overcast clouds
181,Port Lincoln,AU,-34.7333,135.8667,64.96,54,100,,light rain
182,Sukumo,JP,32.9333,132.7333,51.76,80,17,,few clouds
183,Souillac,MU,-20.5167,57.5167,62.98,88,20,,few clouds
184,Bell Ville,AR,-32.6259,-62.6887,96.67,11,0,,clear sky
185,Chuy,UY,-33.6971,-53.4616,72.57,61,92,,overcast clouds
186,Santa Rosa,PH,14.3122,121.1114,80.02,81,100,,overcast clouds
187,Ondjiva,AO,-17.0667,15.7333,86.58,26,97,,overcast clouds
188,Idah,NG,7.1065,6.7342,82.06,53,82,,broken clouds
189,High Level,CA,58.5169,-117.136,15.91,79,20,,smoke
190,Rio Gallegos,AR,-51.6226,-69.2181,66.25,22,75,,broken clouds
191,Trinidad,BO,-14.8333,-64.9,96.78,46,20,,few clouds
192,Rawson,AR,-43.3002,-65.1023,73.74,55,86,,overcast clouds
193,Padang,ID,-0.9492,100.3543,75.25,88,100,,overcast clouds
194,Guerrero Negro,MX,27.9769,-114.0611,74.43,22,0,,clear sky
195,Omboue,GA,-1.5746,9.2618,74.52,92,100,,overcast clouds
196,Caconda,AO,-13.7333,15.0667,67.5,65,90,,overcast clouds
